,Gene stable ID,Transcript stable ID,GO domain,GO term name,GO term accession
285,ENSG00000198695,ENST00000361681,molecular_function,NADH dehydrogenase (ubiquinone) activity,GO:0008137
9465,ENSG00000225351,ENST00000426120,molecular_function,metal ion binding,GO:0046872
11436,ENSG00000232289,ENST00000440485,molecular_function,G protein-coupled receptor activity,GO:0038023
18652,ENSG00000231257,ENST00000417183,molecular_function,tubulin N-acetyltransferase activity,GO:0019799
20385,ENSG00000224708,ENST00000547421,molecular_function,acetylcholine receptor activator activity,GO:0030549
21127,ENSG00000233813,ENST00000430402,molecular_function,structural constituent of ribosome,GO:0003735
24288,ENSG00000243958,ENST00000439630,molecular_function,threonine-type endopeptidase activity,GO:0016787
24927,ENSG00000234549,ENST00000416917,molecular_function,tubulin N-acetyltransferase activity,GO:0019799
25482,ENSG00000239836,ENST00000420182,molecular_function,threonine-type endopeptidase activity,GO:0016787
27733,ENSG00000276886,ENST00000300177,molecular_function,protein homodimerization activity,GO:0042803
29685,ENSG00000206409,ENST00000400157,molecular_function,lipid transporter activity,GO:0005319
30144,ENSG00000235155,ENST00000419471,molecular_function,transferase activity,GO:0016740
30811,ENSG00000230780,ENST00000427264,molecular_function,G protein-coupled receptor activity,GO:0038023
31245,ENSG00000227861,ENST00000447852,molecular_function,protein binding,GO:0005515
34702,ENSG00000229524,ENST00000442479,molecular_function,protein binding,GO:0005515
35950,ENSG00000206500,ENST00000376750,molecular_function,metal ion binding,GO:0046872
36624,ENSG00000229125,ENST00000454071,molecular_function,G protein-coupled receptor activity,GO:0038023
39894,ENSG00000233345,ENST00000430216,molecular_function,ATP binding,GO:0005524
40433,ENSG00000096171,ENST00000211402,molecular_function,ATP binding,GO:0005524
42906,ENSG00000231002,ENST00000450392,molecular_function,zinc ion binding,GO:0008270
43220,ENSG00000236399,ENST00000425845,molecular_function,zinc ion binding,GO:0008270
44991,ENSG00000226882,ENST00000417834,molecular_function,GTP binding,GO:0005525
47435,ENSG00000238130,ENST00000383303,molecular_function,protein binding,GO:0005515
47526,ENSG00000230700,ENST00000424502,molecular_function,protein kinase regulator activity,GO:0019887
48382,ENSG00000206511,ENST00000383638,molecular_function,G protein-coupled receptor activity,GO:0038023
49095,ENSG00000231003,ENST00000428302,molecular_function,heparin binding,GO:0008201
50591,ENSG00000235744,ENST00000452598,molecular_function,protein binding,GO:0005515
52651,ENSG00000224859,ENST00000446493,molecular_function,zinc ion binding,GO:0008270
53040,ENSG00000129862,ENST00000250823,molecular_function,protein binding,GO:0005515
53288,ENSG00000227600,ENST00000525601,molecular_function,palmitoyl hydrolase activity,GO:0098599
53747,ENSG00000225967,ENST00000439425,molecular_function,ATP binding,GO:0005524
53830,ENSG00000096155,ENST00000383446,molecular_function,protein binding,GO:0005515
54296,ENSG00000229685,ENST00000454805,molecular_function,peptide antigen binding,GO:0042605
55213,ENSG00000237508,ENST00000440590,molecular_function,protein binding,GO:0005515
55337,ENSG00000229684,ENST00000422650,molecular_function,GTP binding,GO:0005525
55463,ENSG00000092377,ENST00000383032,molecular_function,protein binding,GO:0005515
55706,ENSG00000228662,ENST00000430073,molecular_function,protein binding,GO:0005515
56403,ENSG00000242389,ENST00000358944,molecular_function,RNA binding,GO:0003676
56420,ENSG00000234651,ENST00000413922,molecular_function,protein binding,GO:0005515
57591,ENSG00000206268,ENST00000383174,molecular_function,nucleic acid binding,GO:0003676
58427,ENSG00000236424,ENST00000428845,molecular_function,protein binding,GO:0005515
58972,ENSG00000223766,ENST00000427729,molecular_function,metal ion binding,GO:0046872
59045,ENSG00000234414,ENST00000382707,molecular_function,nucleic acid binding,GO:0003676
59128,ENSG00000228128,ENST00000446426,molecular_function,dimethylargininase activity,GO:0016403
59335,ENSG00000223932,ENST00000416384,molecular_function,nucleic acid binding,GO:0003676
59474,ENSG00000099715,ENST00000333703,molecular_function,calcium ion binding,GO:0005509
60298,ENSG00000242875,ENST00000383020,molecular_function,nucleic acid binding,GO:0003676
61312,ENSG00000230308,ENST00000416213,molecular_function,zinc ion binding,GO:0008270
62239,ENSG00000183795,ENST00000382392,molecular_function,protein binding,GO:0005515
62263,ENSG00000236649,ENST00000416892,molecular_function,thiolester hydrolase activity,GO:0016790
62379,ENSG00000168757,ENST00000320701,molecular_function,protein binding,GO:0005515
62976,ENSG00000243594,ENST00000399607,molecular_function,threonine-type endopeptidase activity,GO:0016787
63632,ENSG00000012817,ENST00000317961,molecular_function,DNA binding,GO:0003676
65236,ENSG00000237482,ENST00000550508,molecular_function,acetylcholine receptor activator activity,GO:0030549
65282,ENSG00000169800,ENST00000303766,molecular_function,nucleic acid binding,GO:0003676
65763,ENSG00000182415,ENST00000250838,molecular_function,catalytic activity,GO:0003824
65781,ENSG00000237046,ENST00000434151,molecular_function,zinc ion binding,GO:0008270
65971,ENSG00000099721,ENST00000651267,molecular_function,protein binding,GO:0005515
66033,ENSG00000137345,ENST00000400691,molecular_function,signaling receptor binding,GO:0005102
67989,ENSG00000129873,ENST00000382867,molecular_function,catalytic activity,GO:0003824
68045,ENSG00000231558,ENST00000426070,molecular_function,protein binding,GO:0005515
68065,ENSG00000224313,ENST00000443250,molecular_function,RNA binding,GO:0003676
68265,ENSG00000187191,ENST00000315357,molecular_function,protein binding,GO:0005515
68829,ENSG00000129824,ENST00000250784,molecular_function,structural constituent of ribosome,GO:0003735
68969,ENSG00000067646,ENST00000383052,molecular_function,DNA binding,GO:0003676
69666,ENSG00000183878,ENST00000331397,molecular_function,protein binding,GO:0005515
69763,ENSG00000239865,ENST00000435318,molecular_function,RNA binding,GO:0003676
69859,ENSG00000240508,ENST00000453059,molecular_function,threonine-type endopeptidase activity,GO:0016787
70118,ENSG00000229061,ENST00000443114,molecular_function,tubulin N-acetyltransferase activity,GO:0019799
72082,ENSG00000154620,ENST00000284856,molecular_function,actin monomer binding,GO:0008092
72101,ENSG00000129864,ENST00000250825,molecular_function,protein binding,GO:0005515
73348,ENSG00000132972,ENST00000255324,molecular_function,metal ion binding,GO:0046872
73914,ENSG00000229698,ENST00000376848,molecular_function,protein binding,GO:0005515
74705,ENSG00000206379,ENST00000383382,molecular_function,protein binding,GO:0005515
74808,ENSG00000154646,ENST00000284885,molecular_function,protein binding,GO:0005515
75351,ENSG00000133101,ENST00000630422,molecular_function,protein binding,GO:0005515
76060,ENSG00000225682,ENST00000427690,molecular_function,RNA binding,GO:0003676
76241,ENSG00000132952,ENST00000255304,molecular_function,SUMO binding,GO:0032183
78366,ENSG00000230143,ENST00000444632,molecular_function,protein binding,GO:0005515
78960,ENSG00000223833,ENST00000437517,molecular_function,protein binding,GO:0005515
79223,ENSG00000154639,ENST00000284878,molecular_function,protein binding,GO:0005515
79499,ENSG00000102753,ENST00000261667,molecular_function,protein binding,GO:0005515
79809,ENSG00000165475,ENST00000643035,molecular_function,NAD+ binding,GO:0070403
80005,ENSG00000243215,ENST00000383230,molecular_function,protein binding,GO:0005515
80108,ENSG00000079101,ENST00000400606,molecular_function,misfolded protein binding,GO:0051787
80526,ENSG00000215522,ENST00000450117,molecular_function,ATP binding,GO:0005524
81613,ENSG00000156265,ENST00000341618,molecular_function,protein binding,GO:0005515
82051,ENSG00000168454,ENST00000357775,molecular_function,protein binding,GO:0005515
82596,ENSG00000141401,ENST00000269159,molecular_function,inositol monophosphate 1-phosphatase activity,GO:0008934
82700,ENSG00000225412,ENST00000548717,molecular_function,signaling receptor binding,GO:0005102
82956,ENSG00000232180,ENST00000442152,molecular_function,transmembrane transporter activity,GO:0022857
83085,ENSG00000132975,ENST00000405846,molecular_function,G protein-coupled receptor activity,GO:0038023
83514,ENSG00000241674,ENST00000383231,molecular_function,protein binding,GO:0005515
83629,ENSG00000132970,ENST00000671038,molecular_function,actin binding,GO:0008092
85133,ENSG00000079134,ENST00000261600,molecular_function,protein binding,GO:0005515
85488,ENSG00000156282,ENST00000286808,molecular_function,structural molecule activity,GO:0005198
85510,ENSG00000166265,ENST00000299340,molecular_function,molecular_function,GO:0003674
85604,ENSG00000159147,ENST00000303071,molecular_function,protein binding,GO:0005515
85984,ENSG00000229253,ENST00000416097,molecular_function,DNA binding,GO:0003676
86616,ENSG00000120658,ENST00000261488,molecular_function,oxidoreductase activity,GO:0016491
86960,ENSG00000159131,ENST00000381815,molecular_function,metal ion binding,GO:0046872
87519,ENSG00000136169,ENST00000354234,molecular_function,DNA binding,GO:0003676
88103,ENSG00000141447,ENST00000319481,molecular_function,protein binding,GO:0005515
88651,ENSG00000234668,ENST00000454370,molecular_function,ATPase-coupled transmembrane transporter activity,GO:0042626
89055,ENSG00000235569,ENST00000427968,molecular_function,ATP binding,GO:0005524
89411,ENSG00000159259,ENST00000314103,molecular_function,protein binding,GO:0005515
89575,ENSG00000156304,ENST00000286835,molecular_function,nucleic acid binding,GO:0003676
89653,ENSG00000023516,ENST00000025301,molecular_function,protein binding,GO:0005515
89938,ENSG00000101557,ENST00000582707,molecular_function,protein binding,GO:0005515
90588,ENSG00000136099,ENST00000377942,molecular_function,calcium ion binding,GO:0005509
90920,ENSG00000093072,ENST00000399837,molecular_function,deaminase activity,GO:0019239
91063,ENSG00000156261,ENST00000432178,molecular_function,ATP binding,GO:0005524
91518,ENSG00000166974,ENST00000591734,molecular_function,protein binding,GO:0005515
92342,ENSG00000134775,ENST00000257209,molecular_function,actin binding,GO:0008092
92869,ENSG00000234258,ENST00000417601,molecular_function,nucleotide binding,GO:0000166
93631,ENSG00000142192,ENST00000346798,molecular_function,serine-type endopeptidase inhibitor activity,GO:0003824
94725,ENSG00000120690,ENST00000239882,molecular_function,DNA-binding transcription factor activity,GO:0003700
96153,ENSG00000242685,ENST00000450601,molecular_function,protein binding,GO:0005515
96225,ENSG00000070371,ENST00000621271,molecular_function,protein binding,GO:0005515
96436,ENSG00000150893,ENST00000280481,molecular_function,metal ion binding,GO:0046872
96452,ENSG00000236011,ENST00000211377,molecular_function,nucleic acid binding,GO:0003676
96865,ENSG00000197705,ENST00000359358,molecular_function,protein binding,GO:0005515
97184,ENSG00000227761,ENST00000422756,molecular_function,protein binding,GO:0005515
97654,ENSG00000078142,ENST00000262039,molecular_function,kinase activity,GO:0016301
97837,ENSG00000206338,ENST00000383322,molecular_function,heme binding,GO:0020037
98283,ENSG00000120686,ENST00000379649,molecular_function,protein binding,GO:0005515
98361,ENSG00000229077,ENST00000415517,molecular_function,transmembrane transporter activity,GO:0022857
98480,ENSG00000099917,ENST00000445987,molecular_function,transcription coregulator activity,GO:0003712
99654,ENSG00000080986,ENST00000261597,molecular_function,protein binding,GO:0005515
99707,ENSG00000235650,ENST00000454021,molecular_function,structural constituent of ribosome,GO:0003735
99923,ENSG00000174015,ENST00000310521,molecular_function,protein binding,GO:0005515
100155,ENSG00000137403,ENST00000383515,molecular_function,protein binding,GO:0005515
100248,ENSG00000088451,ENST00000261296,molecular_function,"dTDP-glucose 4,6-dehydratase activity",GO:0008460
100467,ENSG00000102755,ENST00000282397,molecular_function,ATP binding,GO:0005524
101542,ENSG00000101282,ENST00000217260,molecular_function,protein binding,GO:0005515
101628,ENSG00000125903,ENST00000246105,molecular_function,protein binding,GO:0005515
101974,ENSG00000142149,ENST00000270112,molecular_function,ATP binding,GO:0005524
102230,ENSG00000235758,ENST00000434614,molecular_function,"transferase activity, transferring acyl groups",GO:0016746
102420,ENSG00000154642,ENST00000400559,molecular_function,protein binding,GO:0005515
103008,ENSG00000099953,ENST00000215743,molecular_function,zinc ion binding,GO:0008270
103084,ENSG00000134882,ENST00000355700,molecular_function,protein binding,GO:0005515
103399,ENSG00000088812,ENST00000262919,molecular_function,protein binding,GO:0005515
104665,ENSG00000212866,ENST00000391555,molecular_function,RNA binding,GO:0003676
105190,ENSG00000101489,ENST00000586009,molecular_function,nucleic acid binding,GO:0003676
105491,ENSG00000101327,ENST00000217305,molecular_function,opioid peptide activity,GO:0048018
105607,ENSG00000139737,ENST00000466548,molecular_function,protein binding,GO:0005515
105711,ENSG00000166948,ENST00000202625,molecular_function,protein-glutamine gamma-glutamyltransferase activity,GO:0016740
106004,ENSG00000125898,ENST00000381941,molecular_function,protein binding,GO:0005515
106967,ENSG00000182957,ENST00000424834,molecular_function,protein binding,GO:0005515
107334,ENSG00000225737,ENST00000448219,molecular_function,ATP binding,GO:0005524
107369,ENSG00000088826,ENST00000339123,molecular_function,oxidoreductase activity,GO:0016491
108360,ENSG00000185686,ENST00000398743,molecular_function,protein binding,GO:0005515
108474,ENSG00000132874,ENST00000586448,molecular_function,urea transmembrane transporter activity,GO:0015204
108540,ENSG00000132661,ENST00000254998,molecular_function,protein binding,GO:0005515
108680,ENSG00000132640,ENST00000254977,molecular_function,protein binding,GO:0005515
109088,ENSG00000234846,ENST00000475767,molecular_function,exo-alpha-sialidase activity,GO:0016787
109166,ENSG00000017797,ENST00000019317,molecular_function,GTPase activator activity,GO:0003824
109589,ENSG00000167315,ENST00000285093,molecular_function,"transferase activity, transferring acyl groups",GO:0016746
109788,ENSG00000206378,ENST00000383379,molecular_function,transmembrane transporter activity,GO:0022857
109917,ENSG00000102837,ENST00000219022,molecular_function,catalytic activity,GO:0003824
110087,ENSG00000239754,ENST00000417261,molecular_function,serine-type endopeptidase activity,GO:0016787
110156,ENSG00000065150,ENST00000460070,molecular_function,small GTPase binding,GO:0031267
110354,ENSG00000100325,ENST00000307790,molecular_function,protein binding,GO:0005515
111034,ENSG00000125851,ENST00000377899,molecular_function,serine-type peptidase activity,GO:0008236
111408,ENSG00000132639,ENST00000254976,molecular_function,voltage-gated potassium channel activity,GO:0005249
111614,ENSG00000088876,ENST00000278772,molecular_function,metal ion binding,GO:0046872
112006,ENSG00000206286,ENST00000383210,molecular_function,protein binding,GO:0005515
112040,ENSG00000185666,ENST00000358763,molecular_function,ATP binding,GO:0005524
112094,ENSG00000125815,ENST00000449810,molecular_function,cysteine-type endopeptidase inhibitor activity,GO:0003824
112234,ENSG00000125844,ENST00000377813,molecular_function,RNA binding,GO:0003676
112848,ENSG00000221963,ENST00000409652,molecular_function,lipid binding,GO:0008289
112867,ENSG00000099985,ENST00000215781,molecular_function,cytokine activity,GO:0005125
113366,ENSG00000101745,ENST00000262126,molecular_function,protein binding,GO:0005515
113385,ENSG00000128283,ENST00000249014,molecular_function,protein binding,GO:0005515
113477,ENSG00000100997,ENST00000465694,molecular_function,lysophospholipase activity,GO:0016787
114349,ENSG00000226788,ENST00000415941,molecular_function,metal ion binding,GO:0046872
114525,ENSG00000100219,ENST00000216037,molecular_function,DNA-binding transcription factor activity,GO:0003700
114994,ENSG00000176635,ENST00000336726,molecular_function,protein binding,GO:0005515
115146,ENSG00000170367,ENST00000304710,molecular_function,cysteine-type endopeptidase inhibitor activity,GO:0003824
115308,ENSG00000183214,ENST00000400325,molecular_function,protein binding,GO:0005515
115401,ENSG00000100225,ENST00000266087,molecular_function,protein binding,GO:0005515
115593,ENSG00000089091,ENST00000357236,molecular_function,metal ion binding,GO:0046872
116529,ENSG00000152484,ENST00000282344,molecular_function,thiol-dependent ubiquitin-specific protease activity,GO:0016787
116720,ENSG00000136153,ENST00000341547,molecular_function,protein binding,GO:0005515
116813,ENSG00000089195,ENST00000203001,molecular_function,RNA binding,GO:0003676
116839,ENSG00000236949,ENST00000437373,molecular_function,zinc ion binding,GO:0008270
117994,ENSG00000125831,ENST00000377009,molecular_function,cysteine-type endopeptidase inhibitor activity,GO:0003824
118255,ENSG00000154839,ENST00000285116,molecular_function,microtubule binding,GO:0008017
118849,ENSG00000152223,ENST00000282041,molecular_function,protein binding,GO:0005515
118881,ENSG00000231247,ENST00000435929,molecular_function,phosphatase binding,GO:0019902
118935,ENSG00000125870,ENST00000377943,molecular_function,nucleic acid binding,GO:0003676
119166,ENSG00000152234,ENST00000398752,molecular_function,ATP binding,GO:0005524
119397,ENSG00000125810,ENST00000246006,molecular_function,calcium ion binding,GO:0005509
119470,ENSG00000206287,ENST00000383212,molecular_function,metal ion binding,GO:0046872
119539,ENSG00000206396,ENST00000383412,molecular_function,heparin binding,GO:0008201
119837,ENSG00000101474,ENST00000451442,molecular_function,strictosidine synthase activity,GO:0016844
120130,ENSG00000125864,ENST00000377873,molecular_function,structural constituent of eye lens,GO:0005212
120196,ENSG00000241837,ENST00000431254,molecular_function,"proton-transporting ATP synthase activity, rotational mechanism",GO:0046933
120683,ENSG00000154645,ENST00000400128,molecular_function,carbohydrate binding,GO:0030246
121098,ENSG00000149435,ENST00000286890,molecular_function,glutathione hydrolase activity,GO:0036374
121527,ENSG00000088320,ENST00000201979,molecular_function,GTP binding,GO:0005525
121579,ENSG00000157538,ENST00000309117,molecular_function,protein binding,GO:0005515
121755,ENSG00000125868,ENST00000246069,molecular_function,actin binding,GO:0008092
122337,ENSG00000078898,ENST00000170150,molecular_function,lipid binding,GO:0008289
122537,ENSG00000160307,ENST00000291700,molecular_function,zinc ion binding,GO:0008270
122758,ENSG00000160294,ENST00000397708,molecular_function,nucleic acid binding,GO:0003676
122833,ENSG00000227801,ENST00000383087,molecular_function,extracellular matrix structural constituent,GO:0005201
123028,ENSG00000215397,ENST00000246104,molecular_function,metal ion binding,GO:0046872
123043,ENSG00000188559,ENST00000430436,molecular_function,GTPase activator activity,GO:0003824
123137,ENSG00000100302,ENST00000216127,molecular_function,GTP binding,GO:0005525
123167,ENSG00000102471,ENST00000218652,molecular_function,protein binding,GO:0005515
123397,ENSG00000100100,ENST00000215912,molecular_function,protein binding,GO:0005515
123835,ENSG00000156273,ENST00000286800,molecular_function,DNA binding,GO:0003676
123937,ENSG00000141425,ENST00000590898,molecular_function,protein binding,GO:0005515
123979,ENSG00000184381,ENST00000663895,molecular_function,protein binding,GO:0005515
124602,ENSG00000160310,ENST00000355680,molecular_function,protein binding,GO:0005515
125356,ENSG00000101624,ENST00000262127,molecular_function,protein binding,GO:0005515
125897,ENSG00000198183,ENST00000375413,molecular_function,lipid binding,GO:0008289
126012,ENSG00000100294,ENST00000290429,molecular_function,transferase activity,GO:0016740
126055,ENSG00000132872,ENST00000255224,molecular_function,metal ion binding,GO:0046872
126160,ENSG00000102543,ENST00000251108,molecular_function,zinc ion binding,GO:0008270
126513,ENSG00000134489,ENST00000256906,molecular_function,G protein-coupled receptor activity,GO:0038023
127103,ENSG00000235773,ENST00000456720,molecular_function,protein binding,GO:0005515
127215,ENSG00000131069,ENST00000360596,molecular_function,acetate-CoA ligase activity,GO:0016874
127314,ENSG00000100170,ENST00000266088,molecular_function,transmembrane transporter activity,GO:0022857
128221,ENSG00000100353,ENST00000216190,molecular_function,translation initiation factor activity,GO:0008135
129411,ENSG00000141622,ENST00000269439,molecular_function,zinc ion binding,GO:0008270
129703,ENSG00000128342,ENST00000249075,molecular_function,cytokine activity,GO:0005125
129848,ENSG00000100055,ENST00000457992,molecular_function,guanyl-nucleotide exchange factor activity,GO:0003824
130090,ENSG00000166845,ENST00000382911,molecular_function,protein binding,GO:0005515
130351,ENSG00000157557,ENST00000360214,molecular_function,DNA-binding transcription factor activity,GO:0003700
130661,ENSG00000273899,ENST00000438329,molecular_function,RNA binding,GO:0003676
130694,ENSG00000134046,ENST00000256429,molecular_function,DNA binding,GO:0003676
130778,ENSG00000183943,ENST00000262848,molecular_function,ATP binding,GO:0005524
130856,ENSG00000101846,ENST00000664306,molecular_function,hydrolase activity,GO:0016787
131438,ENSG00000006757,ENST00000381042,molecular_function,hydrolase activity,GO:0016787
131547,ENSG00000101384,ENST00000254958,molecular_function,protein binding,GO:0005515
131826,ENSG00000152240,ENST00000282058,molecular_function,protein binding,GO:0005515
131937,ENSG00000205542,ENST00000451311,molecular_function,actin monomer binding,GO:0008092
132614,ENSG00000125363,ENST00000380714,molecular_function,protein binding,GO:0005515
132809,ENSG00000166510,ENST00000591504,molecular_function,protein binding,GO:0005515
132924,ENSG00000175387,ENST00000262160,molecular_function,protein binding,GO:0005515
133356,ENSG00000077942,ENST00000402984,molecular_function,calcium ion binding,GO:0005509
133627,ENSG00000142173,ENST00000300527,molecular_function,protein binding,GO:0005515
134194,ENSG00000078814,ENST00000262873,molecular_function,ATP binding,GO:0005524
134249,ENSG00000184226,ENST00000377865,molecular_function,calcium ion binding,GO:0005509
134671,ENSG00000124102,ENST00000243924,molecular_function,peptidase inhibitor activity,GO:0030414
134693,ENSG00000011201,ENST00000262648,molecular_function,protein binding,GO:0005515
134716,ENSG00000041353,ENST00000586570,molecular_function,GTP binding,GO:0005525
134812,ENSG00000124134,ENST00000306117,molecular_function,protein binding,GO:0005515
134908,ENSG00000100079,ENST00000215886,molecular_function,carbohydrate binding,GO:0030246
134923,ENSG00000134443,ENST00000256857,molecular_function,neuropeptide hormone activity,GO:0005184
134991,ENSG00000100307,ENST00000216133,molecular_function,protein binding,GO:0005515
135006,ENSG00000101310,ENST00000336714,molecular_function,zinc ion binding,GO:0008270
135204,ENSG00000169093,ENST00000381317,molecular_function,methyltransferase activity,GO:0008168
135273,ENSG00000100344,ENST00000216180,molecular_function,hydrolase activity,GO:0016787
135431,ENSG00000205755,ENST00000400841,molecular_function,protein binding,GO:0005515
135518,ENSG00000157551,ENST00000549158,molecular_function,inward rectifier potassium channel activity,GO:0005242
135968,ENSG00000186976,ENST00000396231,molecular_function,calcium ion binding,GO:0005509
136126,ENSG00000205758,ENST00000381554,molecular_function,oxidoreductase activity,GO:0016491
136210,ENSG00000091164,ENST00000217515,molecular_function,disulfide oxidoreductase activity,GO:0015036
136402,ENSG00000101825,ENST00000217939,molecular_function,protein binding,GO:0005515
136671,ENSG00000004961,ENST00000321143,molecular_function,metal ion binding,GO:0046872
136787,ENSG00000146938,ENST00000381095,molecular_function,neurexin family protein binding,GO:0042043
137316,ENSG00000156239,ENST00000303775,molecular_function,nucleic acid binding,GO:0003676
137475,ENSG00000132792,ENST00000361383,molecular_function,protein binding,GO:0005515
137783,ENSG00000151240,ENST00000280886,molecular_function,molecular_function,GO:0003674
138199,ENSG00000183304,ENST00000381003,molecular_function,protein binding,GO:0005515
138405,ENSG00000139835,ENST00000375431,molecular_function,GTPase activator activity,GO:0003824
138972,ENSG00000180530,ENST00000400199,molecular_function,signaling receptor binding,GO:0005102
139410,ENSG00000141441,ENST00000399218,molecular_function,protein binding,GO:0005515
139459,ENSG00000100426,ENST00000216268,molecular_function,DNA binding,GO:0003676
139587,ENSG00000056487,ENST00000403565,molecular_function,metal ion binding,GO:0046872
139667,ENSG00000149639,ENST00000237536,molecular_function,molecular_function,GO:0003674
139707,ENSG00000141642,ENST00000269466,molecular_function,"endoribonuclease activity, producing 5'-phosphomonoesters",GO:0016891
140067,ENSG00000041515,ENST00000356711,molecular_function,ATP binding,GO:0005524
140428,ENSG00000086717,ENST00000361511,molecular_function,protein binding,GO:0005515
140536,ENSG00000100373,ENST00000216211,molecular_function,protein binding,GO:0005515
140598,ENSG00000165568,ENST00000533295,molecular_function,oxidoreductase activity,GO:0016491
140707,ENSG00000100316,ENST00000401609,molecular_function,structural constituent of ribosome,GO:0003735
140780,ENSG00000177324,ENST00000380033,molecular_function,protein binding,GO:0005515
140972,ENSG00000187498,ENST00000375820,molecular_function,extracellular matrix structural constituent,GO:0005201
141748,ENSG00000141664,ENST00000269499,molecular_function,zinc ion binding,GO:0008270
141833,ENSG00000065675,ENST00000263125,molecular_function,ATP binding,GO:0005524
142249,ENSG00000175121,ENST00000307971,molecular_function,peptidase inhibitor activity,GO:0030414
142273,ENSG00000154736,ENST00000284987,molecular_function,zinc ion binding,GO:0008270
142311,ENSG00000182931,ENST00000330523,molecular_function,peptidase inhibitor activity,GO:0030414
142598,ENSG00000101445,ENST00000299824,molecular_function,protein phosphatase regulator activity,GO:0019888
142832,ENSG00000100253,ENST00000395733,molecular_function,iron ion binding,GO:0005506
142996,ENSG00000139668,ENST00000298125,molecular_function,metal ion binding,GO:0046872
143058,ENSG00000134463,ENST00000379215,molecular_function,catalytic activity,GO:0003824
143101,ENSG00000136144,ENST00000378302,molecular_function,protein binding,GO:0005515
143118,ENSG00000147027,ENST00000275954,molecular_function,protein binding,GO:0005515
143617,ENSG00000130684,ENST00000376436,molecular_function,metal ion binding,GO:0046872
144260,ENSG00000141458,ENST00000269228,molecular_function,lipid transporter activity,GO:0005319
144411,ENSG00000158296,ENST00000279027,molecular_function,transmembrane transporter activity,GO:0022857
145104,ENSG00000086475,ENST00000327347,molecular_function,ATP binding,GO:0005524
145225,ENSG00000167306,ENST00000285039,molecular_function,ATP binding,GO:0005524
145304,ENSG00000100053,ENST00000215855,molecular_function,structural constituent of eye lens,GO:0005212
145444,ENSG00000123240,ENST00000263036,molecular_function,K63-linked polyubiquitin modification-dependent protein binding,GO:0070530
145921,ENSG00000128311,ENST00000403892,molecular_function,thiosulfate sulfurtransferase activity,GO:0016740
145987,ENSG00000159228,ENST00000530908,molecular_function,oxidoreductase activity,GO:0016491
146048,ENSG00000101438,ENST00000217420,molecular_function,glycine transmembrane transporter activity,GO:0015187
146247,ENSG00000128335,ENST00000358502,molecular_function,lipid binding,GO:0008289
146377,ENSG00000172466,ENST00000261332,molecular_function,metal ion binding,GO:0046872
146439,ENSG00000159231,ENST00000290354,molecular_function,oxidoreductase activity,GO:0016491
146456,ENSG00000134873,ENST00000376873,molecular_function,structural molecule activity,GO:0005198
146531,ENSG00000159216,ENST00000344691,molecular_function,DNA binding,GO:0003676
147203,ENSG00000166979,ENST00000457807,molecular_function,carbohydrate binding,GO:0030246
147233,ENSG00000101452,ENST00000373325,molecular_function,helicase activity,GO:0004386
147329,ENSG00000100380,ENST00000216218,molecular_function,protein binding,GO:0005515
147367,ENSG00000150401,ENST00000375403,molecular_function,protein binding,GO:0005515
147535,ENSG00000165629,ENST00000356708,molecular_function,"proton-transporting ATP synthase activity, rotational mechanism",GO:0046933
147696,ENSG00000159079,ENST00000290155,molecular_function,protein binding,GO:0005515
149027,ENSG00000088448,ENST00000267339,molecular_function,protein binding,GO:0005515
149102,ENSG00000124191,ENST00000341197,molecular_function,DNA binding,GO:0003676
149186,ENSG00000241360,ENST00000215904,molecular_function,phosphatase activity,GO:0016791
149247,ENSG00000248405,ENST00000361473,molecular_function,protein binding,GO:0005515
149531,ENSG00000242550,ENST00000397996,molecular_function,serine-type endopeptidase inhibitor activity,GO:0003824
149613,ENSG00000166603,ENST00000299766,molecular_function,G protein-coupled receptor activity,GO:0038023
149657,ENSG00000142168,ENST00000270142,molecular_function,metal ion binding,GO:0046872
149828,ENSG00000176890,ENST00000323274,molecular_function,thymidylate synthase activity,GO:0016740
149976,ENSG00000065665,ENST00000475268,molecular_function,protein binding,GO:0005515
150340,ENSG00000036473,ENST00000039007,molecular_function,carboxyl- or carbamoyltransferase activity,GO:0016743
150446,ENSG00000100347,ENST00000350028,molecular_function,protein binding,GO:0005515
150613,ENSG00000166479,ENST00000299608,molecular_function,isomerase activity,GO:0016853
151240,ENSG00000101958,ENST00000218075,molecular_function,ion channel activity,GO:0005216
151399,ENSG00000075234,ENST00000381031,molecular_function,protein binding,GO:0005515
151544,ENSG00000187134,ENST00000380872,molecular_function,oxidoreductase activity,GO:0016491
151714,ENSG00000141452,ENST00000269221,molecular_function,protein binding,GO:0005515
151812,ENSG00000173698,ENST00000379873,molecular_function,G protein-coupled receptor activity,GO:0038023
152922,ENSG00000159263,ENST00000290399,molecular_function,DNA binding,GO:0003676
153008,ENSG00000100348,ENST00000216185,molecular_function,protein disulfide oxidoreductase activity,GO:0015035
153088,ENSG00000183145,ENST00000329553,molecular_function,protein binding,GO:0005515
153148,ENSG00000101542,ENST00000262717,molecular_function,calcium ion binding,GO:0005509
153203,ENSG00000126216,ENST00000261965,molecular_function,gamma-tubulin binding,GO:0043015
153411,ENSG00000100106,ENST00000644935,molecular_function,actin binding,GO:0008092
153487,ENSG00000160209,ENST00000398081,molecular_function,pyridoxal kinase activity,GO:0008478
