,Gene stable ID,Transcript stable ID,GO domain,GO term name,GO term accession
1372603,ENSG00000185624,ENST00000680226,molecular_function,protein disulfide isomerase activity,GO:0016853
1372752,ENSG00000138413,ENST00000345146,molecular_function,magnesium ion binding,GO:0043167
1372961,ENSG00000070886,ENST00000166244,molecular_function,ATP binding,GO:0005524
1373081,ENSG00000163827,ENST00000395905,molecular_function,protein binding,GO:0005515
1373235,ENSG00000111269,ENST00000228865,molecular_function,DNA-binding transcription factor activity,GO:0003700
1373311,ENSG00000033627,ENST00000393829,molecular_function,proton transmembrane transporter activity,GO:0015078
1373507,ENSG00000119285,ENST00000366582,molecular_function,RNA binding,GO:0003676
1373673,ENSG00000178878,ENST00000326765,molecular_function,lipid binding,GO:0008289
1374259,ENSG00000135100,ENST00000257555,molecular_function,DNA binding,GO:0003676
1374616,ENSG00000130775,ENST00000328928,molecular_function,protein binding,GO:0005515
1374973,ENSG00000131462,ENST00000681413,molecular_function,GTP binding,GO:0005525
1375066,ENSG00000174437,ENST00000308664,molecular_function,nucleotide binding,GO:0000166
1375310,ENSG00000108797,ENST00000264638,molecular_function,SH3 domain binding,GO:0017124
1375807,ENSG00000132170,ENST00000397010,molecular_function,DNA binding,GO:0003676
1376962,ENSG00000131477,ENST00000589683,molecular_function,coreceptor activity,GO:0015026
1377134,ENSG00000131475,ENST00000253794,molecular_function,protein homodimerization activity,GO:0042803
1377162,ENSG00000123374,ENST00000555408,molecular_function,nucleotide binding,GO:0000166
1377522,ENSG00000167699,ENST00000301329,molecular_function,cadherin binding,GO:0045296
1378161,ENSG00000115085,ENST00000264972,molecular_function,ATP binding,GO:0005524
1378289,ENSG00000139278,ENST00000266659,molecular_function,protein binding,GO:0005515
1378545,ENSG00000111615,ENST00000229214,molecular_function,RNA binding,GO:0003676
1378983,ENSG00000115317,ENST00000258080,molecular_function,protein binding,GO:0005515
1379227,ENSG00000162819,ENST00000612948,molecular_function,protein binding,GO:0005515
1379273,ENSG00000163001,ENST00000339012,molecular_function,protein binding,GO:0005515
1379308,ENSG00000065361,ENST00000683059,molecular_function,ATP binding,GO:0005524
1379616,ENSG00000141161,ENST00000394570,molecular_function,protein binding,GO:0005515
1379982,ENSG00000056736,ENST00000288167,molecular_function,interleukin-17 receptor activity,GO:0030368
1380024,ENSG00000166750,ENST00000299977,molecular_function,nucleotide binding,GO:0000166
1380132,ENSG00000072657,ENST00000547300,molecular_function,zinc ion binding,GO:0008270
1380525,ENSG00000154309,ENST00000675850,molecular_function,peptide transmembrane transporter activity,GO:1904680
1380606,ENSG00000157388,ENST00000637424,molecular_function,voltage-gated calcium channel activity,GO:0005245
1380919,ENSG00000069431,ENST00000261200,molecular_function,ATP binding,GO:0005524
1381241,ENSG00000134193,ENST00000256585,molecular_function,carbohydrate binding,GO:0030246
1381270,ENSG00000144395,ENST00000389175,molecular_function,protein binding,GO:0005515
1381289,ENSG00000134249,ENST00000369400,molecular_function,metallopeptidase activity,GO:0008237
1381307,ENSG00000092621,ENST00000641597,molecular_function,NAD binding,GO:0051287
1381425,ENSG00000120071,ENST00000432791,molecular_function,protein binding,GO:0005515
1381528,ENSG00000119041,ENST00000263956,molecular_function,protein binding,GO:0005515
1381607,ENSG00000057294,ENST00000070846,molecular_function,protein binding,GO:0005515
1381853,ENSG00000139223,ENST00000266594,molecular_function,protein binding,GO:0005515
1381915,ENSG00000198678,ENST00000328207,molecular_function,G protein-coupled receptor activity,GO:0038023
1381925,ENSG00000167531,ENST00000301046,molecular_function,calcium ion binding,GO:0005509
1381960,ENSG00000123307,ENST00000242994,molecular_function,protein dimerization activity,GO:0046983
1382503,ENSG00000144554,ENST00000287647,molecular_function,protein binding,GO:0005515
1382587,ENSG00000115598,ENST00000441515,molecular_function,protein binding,GO:0005515
1382637,ENSG00000111266,ENST00000298573,molecular_function,phosphatase activity,GO:0016791
1382717,ENSG00000115602,ENST00000404917,molecular_function,interleukin-1 receptor activity,GO:0038023
1382822,ENSG00000013588,ENST00000014914,molecular_function,G protein-coupled receptor activity,GO:0038023
1382871,ENSG00000115607,ENST00000264260,molecular_function,protein binding,GO:0005515
1382926,ENSG00000111291,ENST00000228887,molecular_function,G protein-coupled receptor activity,GO:0038023
1382961,ENSG00000013583,ENST00000014930,molecular_function,heme binding,GO:0020037
1383094,ENSG00000180251,ENST00000295269,molecular_function,sodium:proton antiporter activity,GO:0015385
1383141,ENSG00000114491,ENST00000479719,molecular_function,catalytic activity,GO:0003824
1383472,ENSG00000158411,ENST00000289359,molecular_function,protein binding,GO:0005515
1384239,ENSG00000198837,ENST00000361217,molecular_function,protein binding,GO:0005515
1384264,ENSG00000185414,ENST00000338148,molecular_function,structural constituent of ribosome,GO:0003735
1384360,ENSG00000082781,ENST00000296181,molecular_function,signaling receptor activity,GO:0038023
1384503,ENSG00000115514,ENST00000264255,molecular_function,protein binding,GO:0005515
1384528,ENSG00000166800,ENST00000615355,molecular_function,catalytic activity,GO:0003824
1384621,ENSG00000074319,ENST00000251968,molecular_function,protein homodimerization activity,GO:0042803
1384746,ENSG00000143578,ENST00000449724,molecular_function,DNA binding,GO:0003676
1385084,ENSG00000151116,ENST00000396197,molecular_function,catalytic activity,GO:0003824
1385183,ENSG00000143543,ENST00000271843,molecular_function,protein kinase binding,GO:0019901
1385269,ENSG00000162972,ENST00000295079,molecular_function,protein binding,GO:0005515
1385386,ENSG00000138101,ENST00000404103,molecular_function,zinc ion binding,GO:0008270
1385562,ENSG00000141576,ENST00000647930,molecular_function,metal ion binding,GO:0046872
1385780,ENSG00000064309,ENST00000392693,molecular_function,protein binding,GO:0005515
1385973,ENSG00000132510,ENST00000448097,molecular_function,metal ion binding,GO:0046872
1386277,ENSG00000094796,ENST00000251645,molecular_function,structural molecule activity,GO:0005198
1386373,ENSG00000108417,ENST00000225550,molecular_function,structural molecule activity,GO:0005198
1386473,ENSG00000111276,ENST00000614874,molecular_function,cyclin-dependent protein serine/threonine kinase inhibitor activity,GO:0004860
1386877,ENSG00000115112,ENST00000263707,molecular_function,DNA-binding transcription factor activity,GO:0003700
1386906,ENSG00000089248,ENST00000455836,molecular_function,protein binding,GO:0005515
1386960,ENSG00000074054,ENST00000409078,molecular_function,microtubule plus-end binding,GO:0051010
1387447,ENSG00000111300,ENST00000261745,molecular_function,protein binding,GO:0005515
1387525,ENSG00000110455,ENST00000524990,molecular_function,catalytic activity,GO:0003824
1387547,ENSG00000160145,ENST00000682506,molecular_function,ATP binding,GO:0005524
1387777,ENSG00000135148,ENST00000257604,molecular_function,metal ion binding,GO:0046872
1387791,ENSG00000116667,ENST00000235307,molecular_function,protein binding,GO:0005515
1388155,ENSG00000144015,ENST00000272395,molecular_function,zinc ion binding,GO:0008270
1388510,ENSG00000196704,ENST00000674770,molecular_function,metallopeptidase activity,GO:0008237
1388675,ENSG00000115520,ENST00000263960,molecular_function,ubiquinone binding,GO:0048039
1388684,ENSG00000139178,ENST00000266542,molecular_function,serine-type endopeptidase activity,GO:0016787
1388907,ENSG00000115541,ENST00000409729,molecular_function,ATP binding,GO:0005524
1389436,ENSG00000051341,ENST00000264233,molecular_function,DNA binding,GO:0003676
1389488,ENSG00000151067,ENST00000682544,molecular_function,voltage-gated calcium channel activity,GO:0005245
1391087,ENSG00000143226,ENST00000367972,molecular_function,protein binding,GO:0005515
1391207,ENSG00000213160,ENST00000498202,molecular_function,protein binding,GO:0005515
1391219,ENSG00000149968,ENST00000299855,molecular_function,zinc ion binding,GO:0008270
1391257,ENSG00000143125,ENST00000271331,molecular_function,growth factor activity,GO:0008083
1391275,ENSG00000138385,ENST00000422006,molecular_function,RNA binding,GO:0003676
1391561,ENSG00000137745,ENST00000260302,molecular_function,zinc ion binding,GO:0008270
1391617,ENSG00000177303,ENST00000321617,molecular_function,protein binding,GO:0005515
1392095,ENSG00000138382,ENST00000409837,molecular_function,nucleic acid binding,GO:0003676
1392453,ENSG00000160753,ENST00000368352,molecular_function,protein binding,GO:0005515
1392579,ENSG00000137692,ENST00000260247,molecular_function,protein binding,GO:0005515
1393050,ENSG00000187240,ENST00000375735,molecular_function,ATP binding,GO:0005524
1393187,ENSG00000156959,ENST00000287585,molecular_function,protein binding,GO:0005515
1393398,ENSG00000125459,ENST00000245564,molecular_function,protein binding,GO:0005515
1393487,ENSG00000111241,ENST00000543077,molecular_function,growth factor activity,GO:0008083
1394279,ENSG00000053524,ENST00000328913,molecular_function,guanyl-nucleotide exchange factor activity,GO:0003824
1394482,ENSG00000115263,ENST00000418842,molecular_function,hormone activity,GO:0005179
1394553,ENSG00000078098,ENST00000462608,molecular_function,serine-type peptidase activity,GO:0008236
1394651,ENSG00000121957,ENST00000406462,molecular_function,protein binding,GO:0005515
1395297,ENSG00000116044,ENST00000397063,molecular_function,DNA binding,GO:0003676
1396121,ENSG00000152601,ENST00000355460,molecular_function,metal ion binding,GO:0046872
1396705,ENSG00000110435,ENST00000533550,molecular_function,"transferase activity, transferring acyl groups",GO:0016746
1396769,ENSG00000197557,ENST00000355689,molecular_function,protein binding,GO:0005515
1397546,ENSG00000019505,ENST00000020926,molecular_function,calcium ion binding,GO:0005509
1397617,ENSG00000177595,ENST00000411829,molecular_function,protein binding,GO:0005515
1397710,ENSG00000163515,ENST00000295755,molecular_function,hormone activity,GO:0005179
1397716,ENSG00000079785,ENST00000381341,molecular_function,ATP binding,GO:0005524
1397931,ENSG00000144671,ENST00000466887,molecular_function,transmembrane transporter activity,GO:0022857
1398224,ENSG00000186038,ENST00000415389,molecular_function,ion channel activity,GO:0005216
1398802,ENSG00000197938,ENST00000355273,molecular_function,G protein-coupled receptor activity,GO:0038023
1399170,ENSG00000213859,ENST00000576980,molecular_function,transferase activity,GO:0016740
1399340,ENSG00000167447,ENST00000543872,molecular_function,protein binding,GO:0005515
1399524,ENSG00000116747,ENST00000400968,molecular_function,RNA binding,GO:0003676
1399639,ENSG00000167548,ENST00000301067,molecular_function,protein binding,GO:0005515
1399693,ENSG00000115053,ENST00000322723,molecular_function,nucleic acid binding,GO:0003676
1399909,ENSG00000118729,ENST00000261448,molecular_function,calcium ion binding,GO:0005509
1399999,ENSG00000134207,ENST00000607941,molecular_function,metal ion binding,GO:0046872
1400148,ENSG00000164054,ENST00000619810,molecular_function,protein binding,GO:0005515
1400314,ENSG00000173917,ENST00000330070,molecular_function,DNA binding,GO:0003676
1400345,ENSG00000163467,ENST00000368255,molecular_function,chaperone binding,GO:0051087
1400374,ENSG00000120075,ENST00000239151,molecular_function,DNA binding,GO:0003676
1401065,ENSG00000144644,ENST00000282538,molecular_function,catalytic activity,GO:0003824
1401208,ENSG00000150995,ENST00000357086,molecular_function,"inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity",GO:0005220
1401762,ENSG00000116874,ENST00000369426,molecular_function,ATP binding,GO:0005524
1401988,ENSG00000130414,ENST00000252711,molecular_function,NADH dehydrogenase (ubiquinone) activity,GO:0008137
1402095,ENSG00000047617,ENST00000650848,molecular_function,protein dimerization activity,GO:0046983
1402186,ENSG00000166106,ENST00000299164,molecular_function,zinc ion binding,GO:0008270
1402227,ENSG00000023572,ENST00000608166,molecular_function,metal ion binding,GO:0046872
1402397,ENSG00000170421,ENST00000552551,molecular_function,protein binding,GO:0005515
1402497,ENSG00000110330,ENST00000530675,molecular_function,metal ion binding,GO:0046872
1402709,ENSG00000166363,ENST00000299454,molecular_function,G protein-coupled receptor activity,GO:0038023
1402899,ENSG00000166736,ENST00000504030,molecular_function,ligand-gated ion channel activity,GO:0015276
1403091,ENSG00000198324,ENST00000361483,molecular_function,protein homodimerization activity,GO:0042803
1403723,ENSG00000180228,ENST00000325748,molecular_function,enzyme activator activity,GO:0008047
1404564,ENSG00000143537,ENST00000529473,molecular_function,metal ion binding,GO:0046872
1405150,ENSG00000167302,ENST00000300714,molecular_function,protein binding,GO:0005515
1405233,ENSG00000108479,ENST00000225614,molecular_function,ATP binding,GO:0005524
1405360,ENSG00000111554,ENST00000540418,molecular_function,microtubule binding,GO:0008017
1405449,ENSG00000116095,ENST00000234453,molecular_function,lipid binding,GO:0008289
1405598,ENSG00000176900,ENST00000380378,molecular_function,G protein-coupled receptor activity,GO:0038023
1405622,ENSG00000166368,ENST00000299459,molecular_function,G protein-coupled receptor activity,GO:0038023
1405636,ENSG00000143977,ENST00000272348,molecular_function,RNA binding,GO:0003676
1405805,ENSG00000108953,ENST00000264335,molecular_function,RNA binding,GO:0003676
1405972,ENSG00000280090,ENST00000356130,molecular_function,G protein-coupled receptor activity,GO:0038023
1406108,ENSG00000035141,ENST00000037869,molecular_function,protein binding,GO:0005515
1406608,ENSG00000111432,ENST00000229030,molecular_function,protein binding,GO:0005515
1406642,ENSG00000165685,ENST00000381923,molecular_function,protein binding,GO:0005515
1407349,ENSG00000008323,ENST00000011684,molecular_function,guanyl-nucleotide exchange factor activity,GO:0003824
1407669,ENSG00000153933,ENST00000572810,molecular_function,diacylglycerol kinase activity,GO:0016740
1407755,ENSG00000121060,ENST00000648772,molecular_function,metal ion binding,GO:0046872
1407858,ENSG00000135144,ENST00000257600,molecular_function,zinc ion binding,GO:0008270
1407893,ENSG00000136052,ENST00000258538,molecular_function,cation transmembrane transporter activity,GO:0008324
1408180,ENSG00000163093,ENST00000392663,molecular_function,protein binding,GO:0005515
1408246,ENSG00000171681,ENST00000543189,molecular_function,protein binding,GO:0005515
1408364,ENSG00000239474,ENST00000284669,molecular_function,protein binding,GO:0005515
1408413,ENSG00000074416,ENST00000434178,molecular_function,hydrolase activity,GO:0016787
1408558,ENSG00000138399,ENST00000453153,molecular_function,RNA binding,GO:0003676
1408801,ENSG00000141560,ENST00000269373,molecular_function,nucleotide binding,GO:0000166
1408824,ENSG00000138398,ENST00000414307,molecular_function,peptidyl-prolyl cis-trans isomerase activity,GO:0016853
1408940,ENSG00000172995,ENST00000428373,molecular_function,nucleic acid binding,GO:0003676
1409080,ENSG00000118308,ENST00000354454,molecular_function,microtubule binding,GO:0008017
1409169,ENSG00000162129,ENST00000294053,molecular_function,ATP binding,GO:0005524
1409257,ENSG00000167363,ENST00000300784,molecular_function,nucleotide binding,GO:0000166
1409461,ENSG00000115750,ENST00000625239,molecular_function,metal ion binding,GO:0046872
1409700,ENSG00000134317,ENST00000324907,molecular_function,DNA binding,GO:0003676
1409783,ENSG00000137727,ENST00000260283,molecular_function,GTPase activator activity,GO:0003824
1409815,ENSG00000110851,ENST00000228437,molecular_function,protein binding,GO:0005515
1409884,ENSG00000139364,ENST00000299308,molecular_function,molecular_function,GO:0003674
1410003,ENSG00000117834,ENST00000425816,molecular_function,transmembrane transporter activity,GO:0022857
1410971,ENSG00000115758,ENST00000234111,molecular_function,catalytic activity,GO:0003824
1411096,ENSG00000020633,ENST00000308873,molecular_function,DNA binding,GO:0003676
1411230,ENSG00000144857,ENST00000495514,molecular_function,protein binding,GO:0005515
1411349,ENSG00000072195,ENST00000312358,molecular_function,ATP binding,GO:0005524
1411711,ENSG00000139546,ENST00000550147,molecular_function,RNA binding,GO:0003676
1411958,ENSG00000160058,ENST00000455895,molecular_function,protein binding,GO:0005515
1412225,ENSG00000123989,ENST00000535926,molecular_function,acetylgalactosaminyltransferase activity,GO:0008376
1412277,ENSG00000124006,ENST00000404537,molecular_function,protein binding,GO:0005515
1412422,ENSG00000139574,ENST00000267017,molecular_function,signaling receptor binding,GO:0005102
1412578,ENSG00000162614,ENST00000401035,molecular_function,protein binding,GO:0005515
1412645,ENSG00000123999,ENST00000243786,molecular_function,growth factor activity,GO:0008083
1412721,ENSG00000050165,ENST00000396505,molecular_function,protein binding,GO:0005515
1412781,ENSG00000141579,ENST00000269394,molecular_function,metal ion binding,GO:0046872
1412977,ENSG00000114923,ENST00000373760,molecular_function,inorganic anion exchanger activity,GO:0005452
1413566,ENSG00000115884,ENST00000254351,molecular_function,protein binding,GO:0005515
1413633,ENSG00000142748,ENST00000270879,molecular_function,metal ion binding,GO:0046872
1413685,ENSG00000143878,ENST00000272233,molecular_function,GTP binding,GO:0005525
1413767,ENSG00000162613,ENST00000294623,molecular_function,RNA binding,GO:0003676
1413810,ENSG00000138430,ENST00000284719,molecular_function,GTP binding,GO:0005525
1413934,ENSG00000129167,ENST00000250018,molecular_function,monooxygenase activity,GO:0016491
1413983,ENSG00000114124,ENST00000264952,molecular_function,ATP binding,GO:0005524
1414350,ENSG00000108821,ENST00000225964,molecular_function,protein binding,GO:0005515
1414515,ENSG00000198758,ENST00000361852,molecular_function,protein binding,GO:0005515
1414580,ENSG00000144306,ENST00000437944,molecular_function,dipeptidase activity,GO:0016805
1414609,ENSG00000206560,ENST00000399451,molecular_function,protein binding,GO:0005515
1414798,ENSG00000049247,ENST00000361696,molecular_function,hormone activity,GO:0005179
1414848,ENSG00000132849,ENST00000642238,molecular_function,protein binding,GO:0005515
1414915,ENSG00000115468,ENST00000409613,molecular_function,calcium ion binding,GO:0005509
1415146,ENSG00000167105,ENST00000300433,molecular_function,protein binding,GO:0005515
1415388,ENSG00000204120,ENST00000629305,molecular_function,protein binding,GO:0005515
1415522,ENSG00000015532,ENST00000017003,molecular_function,protein xylosyltransferase activity,GO:0030158
1415577,ENSG00000108826,ENST00000507088,molecular_function,structural constituent of ribosome,GO:0003735
